iter	Passed	Remaining
0	144	143869
1	144	72264
2	145	48499
3	146	36558
4	147	29401
5	148	24653
6	149	21228
7	150	18685
8	151	16684
9	152	15078
10	153	13757
11	153	12649
12	154	11714
13	154	10911
14	155	10218
15	156	9615
16	157	9081
17	158	8629
18	159	8211
19	159	7831
20	160	7486
21	161	7176
22	162	6897
23	163	6637
24	164	6401
25	164	6178
26	166	5998
27	167	5819
28	168	5636
29	169	5464
30	169	5305
31	170	5156
32	171	5017
33	172	4886
34	172	4763
35	173	4643
36	174	4530
37	174	4422
38	175	4320
39	175	4223
40	176	4130
41	177	4045
42	178	3962
43	178	3882
44	179	3806
45	180	3741
46	181	3681
47	182	3619
48	183	3554
49	183	3493
50	184	3433
51	185	3377
52	185	3321
53	186	3268
54	187	3221
55	188	3174
56	189	3128
57	189	3084
58	190	3042
59	191	3003
60	192	2961
61	192	2919
62	193	2880
63	194	2842
64	195	2805
65	196	2773
66	196	2741
67	197	2702
68	197	2669
69	198	2637
70	199	2605
71	199	2574
72	200	2545
73	201	2521
74	202	2494
75	203	2469
76	203	2443
77	204	2419
78	205	2400
79	206	2377
80	207	2354
81	208	2331
82	209	2309
83	209	2288
84	210	2264
85	211	2249
86	212	2228
87	213	2210
88	214	2190
89	214	2173
90	215	2155
91	216	2141
92	217	2125
93	219	2111
94	220	2098
95	221	2085
96	222	2072
97	223	2056
98	224	2046
99	226	2037
100	228	2032
101	228	2014
102	229	1999
103	230	1985
104	231	1972
105	232	1959
106	233	1949
107	234	1937
108	235	1923
109	236	1910
110	236	1897
111	237	1884
112	238	1873
113	239	1862
114	240	1852
115	243	1857
116	244	1846
117	245	1836
118	246	1823
119	247	1812
120	248	1807
121	249	1798
122	250	1785
123	251	1775
124	252	1766
125	253	1757
126	254	1747
127	254	1736
128	255	1727
129	259	1737
130	260	1729
131	261	1721
132	264	1725
133	266	1724
134	267	1715
135	268	1705
136	269	1697
137	270	1688
138	271	1682
139	274	1684
140	275	1677
141	276	1668
142	277	1663
143	278	1655
144	279	1647
145	280	1640
146	282	1638
147	283	1631
148	284	1624
149	285	1616
150	286	1608
151	289	1613
152	290	1607
153	291	1599
154	292	1592
155	292	1584
156	293	1576
157	294	1569
158	295	1561
159	296	1554
160	296	1547
161	297	1540
162	298	1533
163	299	1527
164	300	1521
165	301	1514
166	302	1508
167	303	1503
168	304	1496
169	305	1492
170	306	1486
171	307	1480
